Metric,Baseline Linear SVM,Optimized RBF SVM,Random Forest
Accuracy,0.921,0.9738,0.9582
Macro Precision,0.9202910432933088,0.9735788254199276,0.9578296916542849
Macro Recall,0.9197134104796284,0.9736030880287988,0.9578981451816333
Macro F1-Score,0.9196768101091044,0.9735431952314286,0.9578128416802609
Training Time (s),15.386190176010132,103.63638591766357,1.268442153930664
Prediction Time (s),15.386190176010132,7.223481893539429,0.026427030563354492
